Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Bob Good,Republican,House,Virginia,H0VA05160,5,true,Won General,false,2022,2023,2025
John Rutherford,Republican,House,Florida,H6FL04105,5,true,Won General,false,2022,2023,2025
Stephanie Bice,Republican,House,Oklahoma,H0OK05205,5,true,Won General,false,2022,2023,2025
Tom McClintock,Republican,House,California,H8CA04152,5,true,Won General,false,2022,2023,2025
Harold Rogers,Republican,House,Kentucky,H0KY05015,5,true,Won General,false,2022,2023,2025
Tim Walberg,Republican,House,Michigan,H4MI07103,5,true,Won General,false,2022,2023,2025
Dale Strong,Republican,House,Alabama,H2AL05102,5,false,Won General,false,2022,2023,2025
Cathy Rodgers,Republican,House,Washington,H4WA05077,5,true,Won General,false,2022,2023,2025
Andy Ogles,Republican,House,Tennessee,H2TN05446,5,false,Won General,false,2022,2023,2025
Andy Biggs,Republican,House,Arizona,H6AZ05083,5,true,Won General,false,2024,2025,2027
Dale Strong,Republican,House,Alabama,H2AL05102,5,true,Won General,false,2024,2025,2027
Tom McClintock,Republican,House,California,H8CA04152,5,true,Won General,false,2024,2025,2027
John Rutherford,Republican,House,Florida,H6FL04105,5,true,Won General,false,2024,2025,2027
Harold Rogers,Republican,House,Kentucky,H0KY05015,5,true,Won General,false,2024,2025,2027
Tim Walberg,Republican,House,Michigan,H4MI07103,5,true,Won General,false,2024,2025,2027
Bob Latta,Republican,House,Ohio,H8OH05036,5,true,Won General,false,2024,2025,2027
Virginia Foxx,Republican,House,North Carolina,H4NC05146,5,true,Won General,false,2024,2025,2027
Stephanie Bice,Republican,House,Oklahoma,H0OK05205,5,true,Won General,false,2024,2025,2027
Andy Ogles,Republican,House,Tennessee,H2TN05446,5,true,Won General,false,2024,2025,2027
Ralph Norman,Republican,House,South Carolina,H8SC05158,5,true,Won General,false,2024,2025,2027
Lance Gooden,Republican,House,Texas,H8TX05144,5,true,Won General,false,2024,2025,2027
Cathy Rodgers,Republican,House,Washington,H4WA05077,5,true,Dropped Out,false,2024,2025,2027
Scott Fitzgerald,Republican,House,Wisconsin,H0WI05113,5,true,Won General,false,2024,2025,2027
Ben Cline,Republican,House,Virginia,H8VA06104,6,true,Won General,false,2022,2023,2025
Tom Emmer,Republican,House,Minnesota,H4MN06087,6,true,Won General,false,2022,2023,2025
Greg Pence,Republican,House,Indiana,H8IN06129,6,true,Won General,false,2022,2023,2025
Sam Graves,Republican,House,Missouri,H0MO06073,6,true,Won General,false,2022,2023,2025
Garret Graves,Republican,House,Louisiana,H4LA06153,6,true,Won General,false,2022,2023,2025
Bill Johnson,Republican,House,Ohio,H0OH06189,6,true,Won General,false,2022,2023,2025
Michael Waltz,Republican,House,Florida,H8FL06148,6,true,Won General,false,2022,2023,2025
John Rose,Republican,House,Tennessee,H8TN06094,6,true,Won General,false,2022,2023,2025
Gary Palmer,Republican,House,Alabama,H4AL06098,6,true,Won General,false,2022,2023,2025
Rich McCormick,Republican,House,Georgia,H0GA07273,6,true,Won General,false,2022,2023,2025
Gary Palmer,Republican,House,Alabama,H4AL06098,6,true,Won General,false,2024,2025,2027
Michael Waltz,Republican,House,Florida,H8FL06148,6,true,Won General,false,2024,2025,2025
